feature,importance
bbox_width_ratio,0.09876990
complexity,0.08088674
ref_chamfer,0.07850895
bbox_area_ratio,0.07232454
orientation_entropy,0.06791266
solidity,0.06572995
fill_ratio,0.06491426
perimeter_norm,0.06402289
elongation,0.05951497
edge_density,0.05895876
ink_ratio,0.05881573
aspect_ratio,0.05662641
ref_iou,0.05517013
ref_cosine,0.05376643
bbox_height_ratio,0.03410033
component_count,0.02109480
hole_count,0.00888254
