feature,importance
orientation_entropy,0.09231090
complexity,0.07920988
bbox_width_ratio,0.07534738
ref_chamfer,0.07295403
fill_ratio,0.06570665
elongation,0.06469957
solidity,0.06454365
ink_ratio,0.06339349
bbox_area_ratio,0.06297588
perimeter_norm,0.06226818
edge_density,0.05915551
aspect_ratio,0.05795945
ref_cosine,0.05710760
ref_iou,0.05652711
bbox_height_ratio,0.03364591
component_count,0.02300160
hole_count,0.00919322
