feature,importance
swin_t_PC2,0.08465360417835409
swin_t_PC3,0.07982702031989561
swin_t_PC8,0.06460141100297145
swin_t_PC17,0.06091993626811166
swin_t_PC6,0.054968236316012095
swin_t_PC1,0.05333248424791085
swin_t_PC10,0.05066555923856254
swin_t_PC12,0.04767264368165219
swin_t_PC4,0.04740606301255356
swin_t_PC18,0.0455353572777991
swin_t_PC5,0.043603908538858115
swin_t_PC13,0.042831330530685836
swin_t_PC7,0.041771971051028096
swin_t_PC20,0.04166862928571305
swin_t_PC15,0.040662966461313226
swin_t_PC19,0.0405990292441954
swin_t_PC9,0.04032030149440881
swin_t_PC16,0.03997297235618364
swin_t_PC11,0.039923640471645476
swin_t_PC14,0.03906293502214531
