dimension,kruskal_H,p_value
PC1,587.0127927741064,3.4024491692112726e-128
PC2,1072.8911940245587,1.05836964712635e-233
PC3,1804.1328482910105,0.0
PC4,31.325845523494976,1.576445909964123e-07
PC5,1353.9335448030135,9.932677028824388e-295
PC6,1190.9566494694418,2.4380885489827008e-259
PC7,132.83861907687745,1.4271196160016298e-29
PC8,3.782201229453423,0.1509056284458424
PC9,83.53857975788917,7.241489287537558e-19
PC10,454.50926161036216,2.016358982814627e-99
