pair,centroid_distance_top10PC,centroid_distance_tSNE,PC1_cliffs_delta
端正易读 vs 美观,12.963671684265137,24.728374481201172,0.2982308545524692
端正易读 vs 极致扭曲,14.126728057861328,31.560165405273438,0.3353526475694444
美观 vs 极致扭曲,3.5545237064361572,6.888799667358398,0.0499968653549383
