model,centroid_distance,first_dim_mannwhitney_p,first_dim_cliffs_delta
ResNet50,3.5545270045083344,0.0010168012890521307,0.0499968653549383
Swin_T,3.8754754945827896,0.006461540098074534,-0.04143880208333328
Morphology,3.2159649248556477,5.3321153725224975e-15,-0.12375856317884626
Fusion,6.479595937216973,5.3321153725224975e-15,-0.12375856317884626
