feature,importance
bbox_width_ratio,0.09742431574008106
complexity,0.08348389945247517
ref_chamfer,0.0736857307050875
bbox_area_ratio,0.07237942533222906
orientation_entropy,0.06933346071177823
perimeter_norm,0.067217712341712
solidity,0.06714725703835363
elongation,0.06196988048436999
fill_ratio,0.06119853974778397
edge_density,0.06040551205434823
ink_ratio,0.058617349741805595
aspect_ratio,0.05762508929902679
ref_cosine,0.05335616286628765
ref_iou,0.05328305318119095
bbox_height_ratio,0.033776236821938796
component_count,0.020651941913670594
hole_count,0.008444432567860696
