feature,importance
resnet50_PC7,0.0672083322710009
resnet50_PC3,0.06394923303516857
resnet50_PC10,0.059939633529683095
resnet50_PC5,0.05818073774026855
resnet50_PC13,0.05348596572827837
resnet50_PC9,0.052143933739644995
resnet50_PC11,0.05211312740311991
resnet50_PC4,0.050363883015169614
resnet50_PC14,0.04905580129343019
resnet50_PC2,0.04876905086605082
resnet50_PC1,0.04875030612502324
resnet50_PC15,0.047931274233385904
resnet50_PC18,0.04773435892872063
resnet50_PC17,0.04504141558152162
resnet50_PC19,0.044275708139869537
resnet50_PC16,0.044223267070342166
resnet50_PC6,0.043745329298523344
resnet50_PC8,0.04207932547218505
resnet50_PC12,0.040714203797951945
resnet50_PC20,0.0402951127306616
